Name,N2-rep1,N2-rep2,N2-rep3,Gld2-rep1,Gld2-rep2,Gld2-rep3,Cpb3-rep1,Cpb3-rep2,Cpb3-rep3,Gld2-pcb19-rep1,Gld2-pcb19-rep2,Gld2-PARN1-rep1,Gld2-PARN1-rep2,Gld2-CAF1-rep1,Gld2-CAF1-rep2,Gld2-PANL2-rep1,Gld2-PANL2-rep2,Gld2-CCF1-rep1,Gld2-CCF1-rep2,Gld2-CCR4-rep1,Gld2-CCR4-rep2,1-2-cell-egg-rep1,1-2-cell-egg-rep2
NR_069421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NR_069423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
NR_069426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NM_001269359/NM_001269358/NM_001269357,4,10,17,42,22,11,3,0,0,17,9,9,31,19,19,24,4,9,17,11,9,0,1
NM_073421,99,151,125,196,132,49,114,157,14,109,38,49,153,93,78,67,21,26,33,59,46,12,25
NR_069429,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
NM_001029066,33,43,55,67,56,17,21,45,6,35,4,9,40,16,41,73,7,13,18,20,31,13,0
NM_001269364/NM_001269363,259,369,490,760,606,310,216,314,46,197,54,149,291,153,193,442,121,94,156,221,213,85,66
NM_001269371/NM_001269370,53,56,92,179,157,47,152,204,34,95,28,87,135,57,122,284,53,39,82,85,90,57,93
NM_001269373/NM_001269372,359,367,480,362,389,171,305,699,100,192,57,186,316,119,200,631,155,98,161,268,255,144,226
NM_073428,5115,7805,9229,11059,12006,4575,7401,10431,1229,5346,1003,3390,7685,3439,4996,10239,2072,1756,3602,3644,6500,2159,2059
NR_069432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001269377/NM_001269376,64,104,159,22,34,9,56,129,18,15,2,7,25,16,7,28,3,12,58,19,13,25,42
NM_001276933,9,24,17,10,15,7,3,21,0,14,1,1,3,6,5,4,1,1,0,5,11,0,0
NM_073435,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0
NM_182428,0,1,0,2,2,1,0,0,0,1,0,0,2,1,1,6,1,0,0,0,0,0,0
NM_182429,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_073436,0,0,0,2,4,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NM_073437,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069440,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NM_073439/NM_001129546/NR_024313--1-of-2/NR_069444--1-of-2/NR_069442--2-of-2,1,5,8,21,17,9,8,6,0,5,4,4,17,7,6,13,8,1,4,9,6,0,5
NR_069445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069451,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_073442/NM_073441/NM_073443/NM_001269378,26,29,27,71,50,28,30,27,9,35,15,22,53,17,21,15,11,16,32,21,44,7,1
NR_069456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
