Name,N2-rep1,N2-rep2,N2-rep3,Gld2-rep1,Gld2-rep2,Gld2-rep3,Cpb3-rep1,Cpb3-rep2,Cpb3-rep3,Gld2-pcb19-rep1,Gld2-pcb19-rep2,Gld2-PARN1-rep1,Gld2-PARN1-rep2,Gld2-CAF1-rep1,Gld2-CAF1-rep2,Gld2-PANL2-rep1,Gld2-PANL2-rep2,Gld2-CCF1-rep1,Gld2-CCF1-rep2,Gld2-CCR4-rep1,Gld2-CCR4-rep2,1-2-cell-egg-rep1,1-2-cell-egg-rep2
NR_001477,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_058260,74,103,142,177,119,47,91,123,10,61,18,55,117,55,117,130,25,34,80,63,89,16,16
NM_058262/NM_058261,283,284,453,667,586,223,299,440,68,269,85,188,549,230,260,457,128,154,304,352,477,134,184
NM_058263,86,57,143,268,215,103,61,86,19,34,10,56,94,42,44,152,37,51,55,98,44,38,21
NM_058267,1,0,2,49,37,15,5,3,1,9,1,3,4,3,9,7,1,1,6,18,2,0,0
NM_058269,14,4,6,6,11,2,1,11,0,1,2,4,13,5,9,8,0,1,9,4,6,3,10
NM_001261860,81,113,147,172,138,34,98,110,3,56,22,41,113,68,49,65,24,34,44,51,64,36,33
NM_058272,692,598,881,855,811,495,688,1023,252,380,87,304,434,178,378,1422,296,217,332,559,460,379,343
NM_058273,3,2,6,1,1,0,3,5,0,1,0,0,1,1,5,6,0,1,0,2,1,2,0
NM_058274,1129,1194,1999,3329,2531,1202,1041,1713,239,809,197,664,1328,575,837,1467,418,466,750,1098,957,444,630
NR_049899,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NR_049901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_049902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NM_058284,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_058285,86,80,148,148,143,62,56,131,12,79,10,56,104,54,73,141,33,26,63,68,79,22,13
NM_058286,37,43,33,142,190,55,39,71,21,60,12,38,101,31,36,124,34,21,52,55,57,4,6
NM_058289,23,44,58,67,42,10,59,29,5,28,18,19,60,27,56,33,4,23,43,26,65,20,16
NM_058296,204,184,274,330,254,92,254,426,76,90,19,71,150,68,113,227,37,48,101,110,96,102,100
NM_058297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_058301,18,7,13,18,15,11,22,21,4,17,1,7,11,9,12,41,3,2,10,11,11,0,6
NM_058302,4,1,8,7,5,3,3,3,0,6,2,3,9,6,3,32,2,3,1,8,1,0,1
NM_058304,1,1,12,3,12,3,5,9,0,2,2,1,11,1,0,8,0,0,5,8,2,0,0
NM_058306,67,77,122,185,176,80,106,145,20,80,27,67,132,68,85,163,36,50,104,114,112,42,32
NM_058307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_101513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_049904/NR_049905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_058310,17,21,38,26,22,6,12,19,3,14,3,10,27,8,10,15,8,0,27,8,15,3,11
NM_058313,42,87,111,178,130,37,81,79,4,54,13,39,104,47,82,60,15,12,48,43,60,9,19
NM_058314,1606,1622,2475,2703,2249,1132,1549,1616,366,1104,262,721,1534,799,1155,2933,578,620,1004,1189,1420,752,786
NM_058315,1605,1601,2347,1156,1196,500,1557,2639,401,1021,164,598,1497,547,701,2321,569,554,1084,1431,1738,1235,1934
NM_001129071/NM_001129070,312,322,461,333,249,126,318,529,74,169,41,129,300,95,150,300,86,113,265,296,316,146,220
NM_058322,29,20,32,62,24,17,14,24,2,12,5,13,30,19,22,35,7,9,22,24,17,16,15
NM_058324,76,155,159,314,270,64,117,122,10,178,45,72,435,141,209,205,63,94,187,168,332,42,65
NM_058325,39,41,76,96,81,40,29,44,7,24,7,24,30,15,32,99,16,18,37,26,35,8,15
NM_058326,2378,2600,3908,3564,3238,1423,1941,2956,545,1642,417,1484,2479,1115,1065,2742,712,961,1602,1735,1690,1176,1335
NM_001261919/NM_001261918,11,12,14,32,18,14,7,10,2,16,3,9,20,15,12,51,7,12,15,14,8,0,8
NM_058330,1,0,3,14,11,4,8,0,0,4,1,4,6,6,11,10,4,7,3,4,3,2,0
NM_058334,5,20,15,71,58,26,17,23,8,27,12,21,130,17,10,12,24,8,23,25,39,0,6
NM_058336,5,5,5,25,24,12,3,3,4,4,2,1,14,4,5,17,7,3,7,2,3,5,1
NM_058339,462,512,711,1082,900,437,548,826,91,218,27,164,307,177,309,701,103,164,380,255,255,130,126
NM_058340,200,181,281,434,361,149,213,280,36,140,57,174,267,109,289,746,102,118,120,200,160,107,125
NM_058342,4,0,0,26,17,6,8,8,1,7,1,1,27,3,9,13,5,3,8,8,4,0,1
NM_058343,3272,2944,4558,1623,1576,898,3059,6217,1342,788,136,471,906,305,771,1738,616,530,1347,868,1124,1377,1517
NM_001129077/NM_001129076,13,11,21,12,16,4,5,12,2,9,2,3,6,3,8,20,5,3,3,10,18,6,4
NR_049911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_049912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001026626,0,1,2,1,5,0,0,0,0,2,0,1,0,0,2,1,1,0,0,0,4,0,0
NM_058353/NM_182075,0,0,2,0,0,1,3,4,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0
NM_001026333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001261951/NM_001261950,36,27,27,60,67,23,39,36,14,28,4,24,28,22,19,47,21,8,23,34,25,5,3
NM_058356,47,67,68,49,55,32,23,73,6,39,11,50,35,27,58,242,14,32,37,49,34,35,45
NR_101516,657,687,1171,918,863,447,502,831,120,315,79,234,513,251,321,727,148,168,443,521,551,210,450
NR_101517,7,25,18,23,30,14,12,16,0,5,1,10,11,2,8,23,1,0,12,7,5,1,15
NM_058360,4,4,5,10,6,3,6,2,1,5,0,2,1,4,4,11,0,0,0,5,3,0,0
NM_058363,6,9,10,22,23,16,9,21,3,4,2,5,16,4,5,21,1,4,6,15,9,0,0
NM_058365,67,95,163,276,216,54,74,130,7,50,19,29,83,49,63,87,25,33,47,71,104,30,7
NM_058366,17,25,31,219,216,111,24,32,12,17,5,17,39,16,13,40,12,8,40,22,44,20,31
NM_001026562,0,1,0,2,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
NM_058367,3,3,1,51,44,15,2,10,0,2,1,5,4,3,6,21,4,1,1,3,3,0,1
NM_058369,106,119,154,148,121,78,73,112,25,49,19,58,86,39,75,140,36,41,54,77,118,34,60
NM_058370,261,354,426,554,556,254,438,639,156,285,84,210,666,222,219,469,231,123,282,328,522,125,163
NM_058371,860,876,1346,891,1024,523,735,1510,262,400,66,300,645,240,341,930,273,196,348,546,495,305,359
NM_058372,328,453,575,365,491,215,300,698,101,301,34,216,343,136,229,965,143,106,186,280,355,177,211
NM_001026563,0,2,0,324,191,53,10,3,1,7,0,7,16,7,12,7,8,5,4,9,4,0,0
NM_001047236,0,0,0,0,0,1,0,0,2,1,0,2,1,1,1,0,0,0,3,0,0,0,0
NM_058375/NR_072346--1-of-3,4,4,9,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,2,1,0
NM_058377,0,1,5,26,10,11,3,14,0,0,0,4,0,0,0,1,1,1,0,1,3,0,0
NR_049919,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NR_049922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_049923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_049927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_058382/NM_001026671/NM_182008,15,12,26,37,42,14,32,42,6,11,2,14,36,6,12,28,3,3,7,21,14,0,6
NM_058386/NR_051839/NM_001129083,20,32,35,51,44,25,23,35,9,15,3,6,32,11,6,35,6,5,16,28,22,1,10
NM_058388,50,96,115,224,145,39,77,80,4,56,7,28,96,65,53,57,11,37,83,44,104,30,22
NM_001129087/NM_001129086/NM_001129085/NM_001129084/NM_001037904/NM_001037903,3,0,14,2,16,2,5,7,0,6,2,0,2,1,5,9,0,2,7,7,5,14,0
NR_050996/NM_001026573/NM_058395/NR_052806/NM_058397/NM_058398/NM_058399/NM_058400/NM_058401/NR_049939/NM_058406/NM_058405/NM_058407/NM_058408/NM_001083151/NM_001083150/NM_058415/NM_058417/NM_058419/NR_052813/NM_058424/NM_170798/NR_049942/NM_058427/NM_001262043/NM_058434/NM_058435/NM_058436/NR_049946/NR_049948/NR_049949/NM_058442/NM_058445/NM_058446/NM_058450/NM_058452/NM_058454/NR_049950/NR_049951/NM_058460/NR_049952/NR_049953/NM_058467/NM_058468/NM_058470/NM_058471/NM_058474/NM_001026649,4360,4745,7207,6781,5728,2683,4284,6933,975,2419,634,1879,4945,1883,2880,7218,1881,1527,3106,3223,4274,1961,2141
NM_058476,23,45,66,51,47,18,40,27,3,14,2,15,27,27,34,47,3,4,26,23,22,7,0
NM_001026655,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
NM_058477,2,1,0,7,9,2,8,21,3,1,0,0,1,0,0,5,0,0,3,0,2,0,7
NM_001026651/NM_001026650,24,19,36,18,27,5,30,43,7,12,3,12,33,20,13,14,4,7,26,19,27,30,14
NM_001262100,14,6,16,22,13,2,12,19,4,6,6,9,66,13,9,3,2,1,7,14,30,0,1
NM_001026653,3,7,4,25,17,6,1,6,3,11,1,5,33,12,9,23,5,7,7,13,14,0,0
NR_049956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_058487,51,84,90,108,103,38,39,44,3,29,11,29,73,29,40,55,15,22,38,32,51,19,9
NM_058491,20,35,43,69,46,16,22,26,2,42,8,17,81,32,27,54,8,15,54,29,46,0,6
NM_058492,2,2,6,13,9,0,6,6,0,1,1,7,5,9,0,4,0,1,0,3,5,0,3
NM_058495,5,6,5,77,61,43,37,55,1,5,0,7,4,4,4,4,0,0,8,5,6,0,0
NM_001026654,8,0,7,7,7,1,0,2,0,1,1,3,3,10,4,3,7,3,7,4,1,0,7
NM_001026652,0,6,6,106,70,19,4,13,2,13,3,7,17,9,4,25,7,5,3,12,21,0,15
NM_001047179,551,703,825,953,837,359,449,503,67,303,74,200,573,252,278,714,125,212,579,363,474,152,146
NR_049958,8,11,10,13,36,15,6,17,3,9,0,10,11,1,4,15,1,2,6,13,12,0,8
NM_001083140,0,0,0,1,1,0,0,3,0,0,0,0,4,0,4,1,0,0,0,1,3,0,0
NM_058509,2,1,0,0,3,0,4,2,0,1,0,0,1,0,0,0,0,0,0,7,0,0,7
NM_058510,364,457,640,896,594,302,402,513,50,273,81,184,485,232,287,489,121,183,357,329,459,149,153
NM_058513,0,5,8,12,12,5,6,4,1,5,0,3,6,3,11,2,1,2,4,7,9,1,0
NM_170807,309,330,542,578,431,254,282,417,71,89,46,133,393,80,238,362,112,78,187,148,228,101,203
NR_101525,3,2,8,6,2,6,2,7,0,0,0,0,3,1,1,8,3,0,3,2,1,0,2
NM_170811,324,368,603,508,478,222,395,606,112,101,16,101,137,91,88,265,23,63,113,95,132,106,128
NM_058515,13,9,24,16,14,9,5,22,6,6,1,5,11,7,2,9,7,2,7,2,12,3,0
NM_058517,130,179,218,300,268,90,137,166,36,87,24,63,139,62,86,159,30,53,67,82,93,57,28
NM_001026565,4,2,5,9,7,2,4,6,3,0,0,2,1,1,0,9,1,1,2,4,0,0,0
NM_058521,119,210,217,525,448,145,145,224,17,142,30,85,223,109,113,220,51,60,132,135,160,28,52
NR_049961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
NM_170818,21077,19913,28269,37746,36236,19925,18899,28921,7594,22999,5409,15747,33726,13759,17441,49230,12933,8083,11501,20325,24479,10793,8015
NM_058527/NM_058526/NR_003393/NR_003392,11389,13091,16838,23471,21779,10321,13012,21126,6782,14955,4159,17100,25794,11229,18158,39408,9293,6406,8573,13969,16730,6851,4917
NR_049963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_049964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_058532,5,15,26,30,22,12,6,13,2,3,1,7,19,2,5,11,4,1,5,7,7,4,1
NR_052037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001047237,0,0,0,3,4,2,4,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
NM_001037896,61,95,112,173,146,69,88,89,13,23,11,20,62,28,46,79,9,21,40,22,48,16,1
NM_058541,1064,1496,2015,2766,1873,569,1192,1251,93,1388,591,983,3344,1807,1253,2275,321,892,1593,1175,1515,485,894
NM_058542,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_058543,0,1,0,29,16,8,4,1,1,1,0,0,0,0,0,1,0,0,2,3,0,1,0
NM_058544,0,0,0,142,79,29,0,0,0,5,1,6,3,8,2,12,1,0,3,1,2,0,0
NM_058548/NR_050574/NM_058551/NM_170821/NM_170822/NM_058555/NR_049972/NM_058561/NM_001262210/NM_058562/NM_058563/NM_058568/NM_170825/NM_170824/NR_049977/NM_058572/NM_058573/NM_058574/NM_058575/NM_058576/NM_058580/NM_058581/NM_058582/NM_182064/NM_058584/NM_001026659,7991,9615,13701,13951,13613,6153,8776,14678,2600,4533,973,3312,7418,3116,4916,19861,4131,2475,4799,5392,6494,3462,4008
NM_170827/NM_170828/NM_058590,1,4,7,10,4,0,2,4,0,4,1,3,5,3,5,10,0,1,3,3,21,0,0
NR_003390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_058593,4,10,12,1,4,0,1,10,0,2,0,0,11,4,11,1,1,3,4,5,4,14,0
NM_058595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_070389/NM_058601/NM_058602/NM_182011/NM_058603/NM_001026389/NM_001026388/NR_049981/NR_049982/NR_049984/NM_058613/NM_058612/NM_058618/NM_058619/NR_049985/NM_058621/NR_049990/NM_058622/NR_049992/NR_049994/NM_058629/NM_058630/NM_058634/NM_058635/NM_058636/NM_001129081/NM_001026640/NM_170837/NM_058640/NM_058639/NM_182045/NM_058641/NM_058642/NM_058643/NM_058645/NM_001262314/NM_001262313/NM_058651/NR_101530/NM_058652/NR_101531/NR_050003/NM_058653/NR_050004/NR_050006/NR_050009/NM_058655/NM_182056/NM_058656/NM_001026504/NM_058659/NM_058661/NM_058660/NR_002354/NR_002353/NR_050012/NR_050013/NM_058664/NM_058665/NR_101532/NM_058668/NM_058671/NM_001129080/NM_001026638,16442,20866,28273,34256,32135,14330,18145,24904,3698,13565,3528,11372,24274,9943,24628,52700,8383,6716,11714,13944,17987,7357,6466
NR_050017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_050018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_050020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001083156,212,374,489,472,485,185,241,405,14,107,17,77,185,89,95,157,29,68,180,108,124,46,26
NM_058681,6,1,15,19,16,7,1,7,0,6,1,8,29,10,13,24,4,5,16,19,17,1,0
NM_058682/NR_070194,29,66,48,35,37,17,38,51,7,20,3,5,27,8,10,50,13,18,34,22,26,22,0
NM_058684,333,408,698,785,672,273,336,396,53,267,73,245,598,221,543,899,176,144,286,331,344,189,147
NM_058686,838,1127,1724,1945,1986,903,843,1345,106,684,91,280,764,386,397,971,165,234,484,563,690,232,323
NM_058691,421,498,603,760,642,280,410,502,82,218,47,206,376,163,198,679,134,137,186,354,258,208,295
NM_058692,343,393,605,306,320,142,304,554,108,83,22,98,133,66,125,569,52,59,143,97,128,102,188
NM_058694,12,11,28,18,32,10,15,18,9,9,3,13,38,1,18,22,3,4,20,31,12,6,1
NM_058695,87,90,155,152,89,40,87,109,7,59,14,42,107,53,81,209,42,49,85,55,134,63,54
NM_058698,98,121,194,143,82,53,113,122,8,60,21,43,109,51,76,85,10,47,116,70,93,37,57
NM_170840/NM_170839/NM_171834,3,17,23,17,5,3,3,12,1,2,1,0,8,1,2,10,0,0,9,6,5,19,4
NM_001026399/NM_001026400,0,0,5,5,6,1,4,1,0,2,0,3,11,7,2,0,1,0,1,5,3,0,0
NR_050024,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
NM_001262377,3,5,1,3,4,3,1,5,1,1,1,0,1,2,0,9,0,1,1,1,1,0,0
NM_058703,3,3,4,11,5,3,5,13,1,2,4,2,10,4,5,7,0,4,1,4,1,0,0
NM_001262379,1,0,2,12,2,2,1,2,0,3,0,0,2,1,5,6,3,2,0,5,0,0,0
NM_001129021,12,23,23,32,21,11,32,33,9,17,5,16,61,25,41,41,16,16,45,19,36,20,12
NM_182072,4,18,7,43,16,4,14,20,0,3,2,6,15,14,12,20,2,3,9,6,2,0,1
NM_058707,86,111,135,282,180,82,69,88,10,59,32,54,159,50,88,129,30,49,105,65,130,49,18
NM_058709,225,232,329,620,546,265,191,340,82,264,39,208,305,147,136,636,91,115,112,267,205,148,137
NR_101535,1065,964,1429,2029,1668,816,971,1470,241,573,134,552,824,376,598,1714,407,353,634,808,763,581,561
NM_058712/NM_058711/NM_001026622,87,86,118,424,380,186,92,172,33,91,23,88,218,58,108,455,117,33,49,150,151,58,92
NM_058716,153,208,284,400,255,137,154,109,28,95,30,67,173,107,61,145,27,86,150,111,147,39,33
NM_058717,72,92,170,332,263,97,85,102,16,118,17,60,178,86,141,177,47,45,93,114,121,47,46
NM_058719,100,110,190,307,296,108,122,105,12,73,13,50,120,52,91,201,24,33,104,90,98,24,85
NM_058720,0,0,0,0,4,0,0,0,0,1,1,0,1,2,0,0,0,0,2,3,0,0,0
NM_058724,360,433,607,561,526,275,307,556,92,304,68,187,563,204,348,716,182,128,304,403,545,194,194
NM_001047242,345,201,452,152,159,93,187,571,69,63,21,74,147,61,68,215,55,49,109,140,139,104,187
NM_058728,79,55,98,155,166,58,95,98,10,47,17,28,93,49,85,131,28,26,91,61,83,22,65
NR_050028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_050754/NR_050035/NM_058731/NM_001047238/NM_058732/NM_058736/NM_001129055/NR_002350/NM_058738/NM_058740/NM_058741/NM_058742/NM_170842/NM_171835/NM_001037893/NM_058749/NM_001262432/NM_001262429/NM_001037895/NM_001037894/NM_001262433/NR_101537/NM_058759/NM_058761/NM_058763/NR_101539/NM_001026590/NM_058769/NR_051949/NM_058771/NM_001129067/NM_001026591/NM_001026595/NR_101541/NM_001026592/NM_058775/NM_058776/NM_170843/NM_001026593/NR_101642--1-of-3/NR_050692--1-of-4/NR_060736--1-of-4/NM_001026594/NM_058781/NM_170844,5871,7186,9249,8371,6749,2928,7605,9582,1312,3414,949,2657,6416,2375,4312,9397,1924,2202,4500,4417,4496,4519,5361
NM_058783/NM_001129068,316,235,443,154,141,88,259,441,85,51,6,51,57,27,92,364,37,51,66,73,65,83,135
NM_058784,94,107,208,350,314,143,125,129,18,99,42,94,222,93,148,161,60,64,127,130,175,30,35
NM_058787,0,1,0,7,2,9,14,21,4,2,0,2,0,0,2,6,1,1,2,0,0,0,0
NM_001026473/NM_001026474,17,6,47,15,17,3,15,26,22,4,3,10,19,8,6,25,12,9,10,27,7,0,0
NM_058792,11,12,28,22,13,13,7,4,2,5,1,9,18,18,7,30,1,11,3,15,14,8,6
NM_058793,0,0,0,4,4,1,0,0,1,6,6,4,6,11,3,6,6,6,5,7,12,0,0
NM_058795,18,23,18,25,28,3,14,10,0,9,6,5,19,10,12,16,1,1,16,10,12,0,6
NM_058796,64,71,128,219,198,49,126,79,13,41,10,26,101,49,28,74,4,41,37,27,62,6,12
NM_058797,2802,3947,6103,6282,6589,2302,3912,5622,640,3084,390,1632,3442,1703,3073,9149,857,1136,1955,2500,2404,1022,2006
NM_058798,580,768,1234,1838,1205,521,700,934,100,581,159,346,1145,566,657,1111,261,345,635,623,843,316,309
NM_058800,0,1,0,50,53,20,4,1,0,3,0,3,6,3,25,18,6,2,3,7,3,0,0
NM_058801,133,143,211,293,212,79,138,144,21,78,27,81,213,67,186,335,40,61,96,120,131,69,34
NR_050044,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_058803,17,21,16,21,33,6,17,19,4,8,1,5,20,9,8,21,6,4,6,11,21,0,0
NM_058805,84,67,143,180,127,68,85,100,18,127,35,73,192,81,106,195,62,82,129,152,167,33,38
NM_182024/NM_058808,931,1102,1611,1718,1332,687,1197,1905,282,458,122,323,664,370,412,1436,271,320,455,699,642,428,363
NR_050046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_058811,271,345,443,342,461,194,303,631,100,237,48,209,348,148,196,997,205,108,128,267,266,89,81
NM_058812,411,736,822,879,937,276,658,874,62,518,111,285,878,382,402,836,147,223,363,514,664,116,119
NM_001262507,2,2,1,6,2,3,3,10,0,1,0,0,1,1,0,0,0,0,1,3,0,0,0
NM_058815,2,3,13,9,10,2,3,4,0,9,1,2,4,2,15,8,0,0,5,6,0,0,1
NM_058820,83,127,150,202,99,32,109,118,9,29,14,20,96,47,30,32,9,35,106,32,77,33,18
NM_058821,46,33,39,30,50,7,30,24,2,19,14,15,38,15,57,41,11,8,28,17,17,8,1
NM_001025844/NM_058829/NM_058828/NM_058827/NM_058826/NM_001025845/NM_001025843,625,637,856,661,606,340,552,898,177,306,70,214,422,178,253,759,170,159,332,328,360,328,203
NM_058830,552,521,827,1461,1223,626,500,715,102,499,113,302,772,324,453,884,229,204,428,429,659,214,155
NR_000052,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_058835,6,6,5,11,6,3,7,9,2,7,1,0,15,6,23,20,9,4,7,8,6,4,8
NM_058836,3,8,8,348,175,89,60,53,2,8,6,14,17,15,12,45,6,5,27,28,19,6,3
NM_058838/NM_058837,33,33,67,20,3,4,43,57,3,2,1,1,6,4,3,9,1,0,5,4,5,0,18
NM_058841,59,98,101,176,112,47,76,77,6,69,25,45,170,86,159,89,30,87,209,85,112,23,30
NM_058842/NM_001129039,306,251,412,340,424,213,254,415,79,140,32,152,196,87,151,348,84,97,129,218,191,187,171
NM_058843,185,208,345,514,350,172,206,137,35,125,37,111,337,96,231,408,94,76,233,110,223,65,75
NR_101543,56,43,58,36,25,5,104,159,27,11,6,20,137,9,24,40,17,8,37,16,37,38,20
NM_058846,53,72,119,112,145,63,63,189,26,46,3,35,66,43,48,450,56,27,29,69,71,31,32
NM_001026435,430,535,780,448,411,182,503,744,65,123,26,78,194,106,153,244,74,79,145,193,222,99,157
NM_058851,6,12,26,64,70,20,2,12,1,51,18,42,67,59,51,148,18,19,52,42,69,9,15
NM_058852,5,1,0,8,16,6,6,5,2,2,1,3,6,3,5,4,4,1,2,8,4,8,0
NM_058853,113,118,123,119,132,74,60,151,16,34,11,54,66,23,39,110,16,14,43,45,63,2,6
NR_050047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_058855,0,1,4,82,43,14,7,19,3,4,0,0,4,3,6,5,6,4,8,14,0,0,0
NM_058857/NM_058856,180,137,225,118,189,101,75,197,48,48,17,56,45,26,63,386,36,50,39,61,58,25,32
NM_058858,5,5,11,19,14,11,9,13,1,8,1,10,6,5,24,18,2,7,13,11,11,0,0
NM_058859,16,2,32,7,16,5,20,9,2,2,0,1,20,5,14,25,2,4,4,6,3,0,0
NM_058861,47,63,88,153,73,46,70,69,9,44,15,40,110,44,106,102,25,26,46,44,72,27,11
NM_001129048,2,2,0,5,4,4,0,4,0,5,2,4,4,1,4,7,4,1,5,4,7,1,1
NM_058862,7,2,9,7,10,11,6,6,2,7,1,4,7,4,7,13,0,1,2,4,7,3,1
NM_058864,2,7,12,157,63,20,4,7,0,15,1,16,16,19,12,18,3,9,20,13,18,0,8
NM_058865,453,576,717,696,584,306,427,857,229,373,154,266,1076,438,167,628,441,336,716,838,982,558,502
NM_058866,388,273,421,446,426,283,263,478,149,94,31,94,195,92,144,421,95,103,169,165,132,143,117
NM_058869,67,96,136,126,131,49,63,83,12,44,10,52,84,28,56,175,28,26,39,48,59,14,29
NR_101544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_058872,0,0,1,55,51,42,6,8,10,5,0,2,5,3,1,1,0,0,1,9,5,0,0
NM_058874--1-of-2/NM_058877--1-of-2,0,1,0,162,108,43,4,3,1,3,4,4,3,3,1,14,0,4,6,1,1,0,0
NM_058876--1-of-2/NM_058875,0,1,1,5,3,2,10,10,2,0,0,0,0,1,0,2,1,0,4,0,0,0,0
NM_058873--2-of-2/NM_001026256/NM_001026255,18,24,31,37,29,30,20,35,6,9,4,8,14,5,14,41,4,2,14,3,5,8,0
NM_058879,0,0,0,5,3,0,1,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
NM_001262583/NM_001026327/NM_001026325/NM_001262584/NM_001026330/NM_001026329/NM_001026328/NM_001262588/NM_001026326/NR_101545/NR_050048,100,149,215,214,147,40,121,127,4,117,28,55,190,107,113,128,28,46,97,101,192,54,42
NR_050050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_050051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_058900,291,303,421,809,785,354,204,352,55,362,113,306,732,274,584,1846,282,225,207,484,490,153,167
NM_058902,78,79,115,86,79,48,61,89,7,38,12,21,105,34,59,101,11,30,73,33,71,24,34
NM_058903/NR_101547/NR_023941,3017,3179,4617,3751,3605,1796,2667,4214,698,2346,444,1310,3366,1374,1794,4997,1428,984,1730,2929,3576,1642,1813
NM_058905,51,67,89,83,109,53,49,70,9,43,6,27,80,29,76,147,27,28,37,32,33,7,5
NM_001128968,76,85,115,104,100,29,81,43,1,54,16,45,103,88,45,88,8,30,67,57,68,7,1
NM_058906,1,3,3,0,0,0,8,9,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
NM_058907,9,7,25,17,18,7,8,7,2,1,0,3,14,3,8,24,10,0,1,9,1,5,15
NM_058909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_058910,0,1,0,0,0,0,1,4,1,0,0,0,4,0,0,6,0,0,0,4,0,8,6
NM_058911,3,4,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
NM_058912,143,155,206,161,191,73,95,199,9,60,14,67,65,40,58,125,27,26,51,56,61,36,47
NM_058915,168,192,353,308,143,46,259,313,19,48,18,43,219,47,125,99,26,64,278,64,176,66,75
NR_050052,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_058916,518,477,738,771,973,459,386,791,144,489,80,354,627,328,524,2881,325,287,399,603,525,324,218
